symbol,layer_name,entry_time,exit_time,entry_price,exit_price,qty,pnl,slippage,exit_reason,hold_minutes
INTC,L1_VWAP_MR,2026-01-05 19:45:00+00:00,2026-01-05 19:50:00+00:00,39.395,39.35389330301483,3,-0.2414,0.1181,STOP,5.0
SLV,L1_VWAP_MR,2026-01-05 19:50:00+00:00,2026-01-05 19:52:00+00:00,69.04,68.9667194362661,1,-0.1423,0.069,STOP,2.0
SLV,L1_VWAP_MR,2026-01-05 19:54:00+00:00,2026-01-05 19:56:00+00:00,68.9755,68.8845,1,-0.1599,0.0689,STOP,2.0
INTC,L1_VWAP_MR,2026-01-05 20:00:00+00:00,2026-01-05 20:06:00+00:00,39.29,39.306,3,-0.0699,0.1179,SIGNAL,6.0
INTC,L3_RSI_SCALP,2026-01-05 20:03:00+00:00,2026-01-05 20:09:00+00:00,39.3299,39.3371,3,-0.0964,0.118,SIGNAL,6.0
SLV,L1_VWAP_MR,2026-01-05 20:08:00+00:00,2026-01-05 20:13:00+00:00,68.9195,69.23,1,0.2414,0.0691,SIGNAL,5.0
XLF,L3_RSI_SCALP,2026-01-05 20:16:00+00:00,2026-01-05 20:17:00+00:00,56.2999,56.282039,2,-0.1483,0.1126,STOP,1.0
BAC,L3_RSI_SCALP,2026-01-05 20:19:00+00:00,2026-01-05 20:22:00+00:00,56.97,56.995,2,-0.064,0.114,SIGNAL,3.0
SLV,L1_VWAP_MR,2026-01-05 20:22:00+00:00,2026-01-05 20:24:00+00:00,69.015,68.93782782133732,1,-0.1461,0.069,STOP,2.0
XLF,L3_RSI_SCALP,2026-01-05 20:25:00+00:00,2026-01-05 20:28:00+00:00,56.275,56.2525,2,-0.1575,0.1125,STOP,3.0
SLV,L1_VWAP_MR,2026-01-05 20:32:00+00:00,2026-01-05 20:33:00+00:00,68.9,68.82069733391202,1,-0.1482,0.0689,STOP,1.0
SLV,L1_VWAP_MR,2026-01-05 20:35:00+00:00,2026-01-05 20:36:00+00:00,68.87,68.7289,1,-0.2099,0.0688,STOP,1.0
BAC,L3_RSI_SCALP,2026-01-05 20:35:00+00:00,2026-01-05 20:37:00+00:00,56.959,56.93,2,-0.1719,0.1139,STOP,2.0
SLV,L1_VWAP_MR,2026-01-05 20:37:00+00:00,2026-01-05 20:38:00+00:00,68.76,68.67094667612876,1,-0.1578,0.0687,STOP,1.0
BAC,L1_VWAP_MR,2026-01-05 20:42:00+00:00,2026-01-05 20:47:00+00:00,56.825,56.82,2,-0.1236,0.1136,SIGNAL,5.0
BAC,L3_RSI_SCALP,2026-01-05 20:44:00+00:00,2026-01-05 20:48:00+00:00,56.84,56.795,2,-0.2036,0.1136,STOP,4.0
XLF,L3_RSI_SCALP,2026-01-05 20:50:00+00:00,2026-01-05 20:51:00+00:00,56.14,56.115,2,-0.1623,0.1123,STOP,1.0
SLV,L1_VWAP_MR,2026-01-05 20:41:00+00:00,2026-01-05 20:57:00+00:00,68.6941,69.065,1,0.302,0.0689,SIGNAL,16.0
XLF,L3_RSI_SCALP,2026-01-05 21:08:00+00:00,2026-01-05 21:11:00+00:00,56.15,56.1252,2,-0.1619,0.1123,STOP,3.0
BAC,L1_VWAP_MR,2026-01-05 20:49:00+00:00,2026-01-05 21:21:00+00:00,56.805,56.9654,2,0.207,0.1138,SIGNAL,32.0
INTC,L1_VWAP_MR,2026-01-05 20:55:00+00:00,2026-01-05 21:28:00+00:00,39.2835,39.4399,3,0.3511,0.1181,SIGNAL,33.0
INTC,L1_VWAP_MR,2026-01-05 21:47:00+00:00,2026-01-05 21:53:00+00:00,39.39,39.39,3,-0.1182,0.1182,SIGNAL,6.0
INTC,L1_VWAP_MR,2026-01-05 21:56:00+00:00,2026-01-05 22:11:00+00:00,39.36,39.4115,3,0.0363,0.1182,SIGNAL,15.0
INTC,L1_VWAP_MR,2026-01-05 22:48:00+00:00,2026-01-05 23:00:00+00:00,39.43,39.49,3,0.0616,0.1184,SIGNAL,12.0
SLV,L1_VWAP_MR,2026-01-05 23:16:00+00:00,2026-01-05 23:17:00+00:00,69.07,68.8601,1,-0.2789,0.069,STOP,1.0
SLV,L1_VWAP_MR,2026-01-05 23:18:00+00:00,2026-01-05 23:19:00+00:00,68.9815,68.9,1,-0.1504,0.0689,STOP,1.0
SLV,L3_RSI_SCALP,2026-01-05 23:18:00+00:00,2026-01-05 23:20:00+00:00,68.9815,68.922509,1,-0.1279,0.069,STOP,2.0
INTC,L1_VWAP_MR,2026-01-05 23:21:00+00:00,2026-01-05 23:24:00+00:00,39.54,39.5,3,-0.2386,0.1186,STOP,3.0
INTC,L1_VWAP_MR,2026-01-05 23:26:00+00:00,2026-01-05 23:30:00+00:00,39.5,39.44,3,-0.2984,0.1184,STOP,4.0
INTC,L1_VWAP_MR,2026-01-05 23:31:00+00:00,2026-01-05 23:58:00+00:00,39.4493,39.47,3,-0.0563,0.1184,SIGNAL,27.0
INTC,L1_VWAP_MR,2026-01-05 23:59:00+00:00,2026-01-06 00:10:00+00:00,39.45,39.43420643759905,3,-0.1657,0.1183,STOP,11.0
SLV,L1_VWAP_MR,2026-01-06 00:12:00+00:00,2026-01-06 00:18:00+00:00,69.06,69.17,1,0.0409,0.0691,SIGNAL,6.0
INTC,L1_VWAP_MR,2026-01-06 00:12:00+00:00,2026-01-06 00:51:00+00:00,39.42,39.38,3,-0.2382,0.1182,STOP,39.0
INTC,L1_VWAP_MR,2026-01-06 00:52:00+00:00,2026-01-06 09:00:00+00:00,39.4,39.59,3,0.4515,0.1185,SIGNAL,488.0
TLT,L3_RSI_SCALP,2026-01-06 09:03:00+00:00,2026-01-06 09:06:00+00:00,87.2,87.22,1,-0.0672,0.0872,SIGNAL,3.0
XLF,L3_RSI_SCALP,2026-01-06 09:37:00+00:00,2026-01-06 09:40:00+00:00,56.0,56.0,2,-0.112,0.112,SIGNAL,3.0
TLT,L3_RSI_SCALP,2026-01-06 10:11:00+00:00,2026-01-06 10:19:00+00:00,87.14,87.15,1,-0.0771,0.0871,SIGNAL,8.0
TLT,L3_RSI_SCALP,2026-01-06 10:55:00+00:00,2026-01-06 10:58:00+00:00,87.0,86.98,1,-0.107,0.087,SIGNAL,3.0
TLT,L1_VWAP_MR,2026-01-06 11:07:00+00:00,2026-01-06 11:26:00+00:00,86.94,87.08,1,0.053,0.087,SIGNAL,19.0
INTC,L1_VWAP_MR,2026-01-06 14:33:00+00:00,2026-01-06 14:34:00+00:00,39.36,39.21,3,-0.5679,0.1179,STOP,1.0
INTC,L1_VWAP_MR,2026-01-06 14:35:00+00:00,2026-01-06 14:37:00+00:00,39.132,39.00208842803248,3,-0.5069,0.1172,STOP,2.0
XLE,L1_VWAP_MR,2026-01-06 14:36:00+00:00,2026-01-06 14:37:00+00:00,46.605,46.53385740150506,2,-0.2354,0.0931,STOP,1.0
BAC,L2_ORB,2026-01-06 14:29:00+00:00,2026-01-06 14:40:00+00:00,57.0,56.875,2,-0.3639,0.1139,STOP,11.0
XLE,L3_RSI_SCALP,2026-01-06 14:42:00+00:00,2026-01-06 14:45:00+00:00,46.71,46.795,2,0.0765,0.0935,SIGNAL,3.0
INTC,L1_VWAP_MR,2026-01-06 14:43:00+00:00,2026-01-06 14:45:00+00:00,39.13,39.33,3,0.4823,0.1177,SIGNAL,2.0
XLE,L3_RSI_SCALP,2026-01-06 14:48:00+00:00,2026-01-06 14:49:00+00:00,46.65,46.55,2,-0.2932,0.0932,STOP,1.0
INTC,L3_RSI_SCALP,2026-01-06 14:48:00+00:00,2026-01-06 14:51:00+00:00,39.235,39.51,3,0.7069,0.1181,SIGNAL,3.0
XLE,L1_VWAP_MR,2026-01-06 14:50:00+00:00,2026-01-06 14:52:00+00:00,46.52,46.42,2,-0.2929,0.0929,STOP,2.0
XLE,L1_VWAP_MR,2026-01-06 14:53:00+00:00,2026-01-06 14:56:00+00:00,46.44,46.41,2,-0.1528,0.0928,STOP,3.0
XLE,L3_RSI_SCALP,2026-01-06 14:54:00+00:00,2026-01-06 14:57:00+00:00,46.51,46.435,2,-0.2429,0.0929,STOP,3.0
XLE,L1_VWAP_MR,2026-01-06 15:00:00+00:00,2026-01-06 15:04:00+00:00,46.335,46.285478,2,-0.1917,0.0926,STOP,4.0
XLE,L3_RSI_SCALP,2026-01-06 15:03:00+00:00,2026-01-06 15:05:00+00:00,46.345,46.275,2,-0.2326,0.0926,STOP,2.0
XLE,L1_VWAP_MR,2026-01-06 15:09:00+00:00,2026-01-06 15:12:00+00:00,46.275,46.37,2,0.0974,0.0926,SIGNAL,3.0
